I'll search X and the web for June 12–17, 2026 primary quotes of FedWatch, Polymarket, and Kalshi odds on the June 17 FOMC decision — only items with real URLs.The first pass mixed year-end/July odds with the June 17 meeting. I’ll now pull only June 12–17 quotes of FedWatch, Polymarket, and Kalshi odds for that FOMC itself.I have solid FedWatch quotes. Next I’ll hunt Kalshi/Polymarket numbers for the June 17 meeting itself, plus earlier June 12–15 pages.Primary quotes of **June 17, 2026 FOMC** implied odds (hold/cut/hike at that meeting), dated **June 12–17, 2026**. Only items with URLs. Year-end, July, and post-decision year-path odds are excluded.

### CME FedWatch

| Source | Date | Exact quoted figure | URL |
|---|---|---|---|
| Wall Street Journal (Joe Wallace) | June 17, 2026, 8:45am ET | “derivative traders are pricing in a **99.6% chance** that the central bank will keep interest rates on hold today, according to CME Group” | [wsj.com](https://www.wsj.com/livecoverage/fed-meeting-warsh-interest-rate-06-17-2026/card/what-do-traders-expect-from-the-fed--YOgQcOuxfWIS0TbILWec) |
| Investopedia | Page dated June 12; updated June 17, 2026, 9:29am EDT | “Financial markets are pricing in a **99% chance** the Fed will hold rates steady, according to the CME Group's FedWatch tool” | [investopedia.com](https://www.investopedia.com/what-to-expect-from-june-fed-decision-flat-interest-rates-and-new-direction-11996530) |
| @financespotnews | June 17, 2026 | “CME FedWatch shows **99.6% probability of a hold**” | [x.com/financespotnews/status/2067251417715294628](https://x.com/financespotnews/status/2067251417715294628) |
| @danish_abbal | June 17, 2026 | “CME FedWatch Data: **99.6% chance of NO rate change**” | [x.com/danish_abbal/status/2067305505710911758](https://x.com/danish_abbal/status/2067305505710911758) |
| @Naeemdecodid | June 17, 2026 | “CME FedWatch … **99.6% chance of NO rate change**” | [x.com/Naeemdecodid/status/2067277665984483578](https://x.com/Naeemdecodid/status/2067277665984483578) |
| @TechOnepiece | June 17, 2026 | “CME FedWatch: **99.6% chance of no rate change**” | [x.com/TechOnepiece/status/2067209663494738225](https://x.com/TechOnepiece/status/2067209663494738225) |
| @coin360com | June 17, 2026 | “Both Polymarket and CME FedWatch show **over 99% odds** of rates staying unchanged” | [x.com/coin360com/status/2067223201965371737](https://x.com/coin360com/status/2067223201965371737) |
| @_Beniimaru | June 17, 2026 | “expected to hold with **97% CME FedWatch probability**” | [x.com/_Beniimaru/status/2067223026370789545](https://x.com/_Beniimaru/status/2067223026370789545) |
| Gate News | June 16, 2026, 22:08 | “as of June 17 … **99.5%** probability of maintaining interest rates unchanged at its June meeting … **0.5%** chance of a 25 basis point rate cut” | [gate.com](https://www.gate.com/news/detail/federal-reserve-995-likely-to-maintain-rates-at-june-meeting-cme-fedwatch-21900390) |
| ChainCatcher (citing Jinshi) | June 16, 2026 (item stamp June 17, 06:07) | “probability of the Federal Reserve keeping interest rates unchanged in June is **99.5%** … cumulative rate cut of 25 basis points is **0.5%**” | [chaincatcher.com](https://www.chaincatcher.com/en/article/2271815) |
| @kenebeii | June 16, 2026 | FedWatch as of June 16: cut **0.6%**; hold (3.50–3.75%) **99.4%**; hike **0%** | [x.com/kenebeii/status/2066852715066798273](https://x.com/kenebeii/status/2066852715066798273) |
| @advisornomics | June 16, 2026 | “CME FedWatch priced in a **97.4% probability of no change**” | [x.com/advisornomics/status/2066912167526277359](https://x.com/advisornomics/status/2066912167526277359) |
| @coin0va | June 16, 2026 | “CME FedWatch puts the probability of a hold at **97.4%**” | [x.com/coin0va/status/2066866200039026762](https://x.com/coin0va/status/2066866200039026762) |
| @financespotnews | June 16, 2026 | “CME FedWatch puts the meeting probability at **98%+ for a hold**” | [x.com/financespotnews/status/2066875943709470968](https://x.com/financespotnews/status/2066875943709470968) |
| @Kshitizbhutani | June 16, 2026 | “FedWatch shows **97% probability** interest rates stay at 3.50%–3.75%” | [x.com/Kshitizbhutani/status/2066763136234115171](https://x.com/Kshitizbhutani/status/2066763136234115171) |
| REX Shares | June 16, 2026 | “HOLD better than **96%** priced (CME FedWatch)” / “odds of a hold … **above 96%**” | [rexshares.com](https://www.rexshares.com/fomc-june-2026-preview-the-decision-is-settled-the-dot-plot-isnt/) |
| SinoPac Futures research PDF | Data time June 16, 2026, 09:22 | June 17 meeting: hold **98.5%**, 25bp cut **1.5%** (FedWatch table) | [spf.com.tw PDF](https://www.spf.com.tw/upload/sinopac/researchContent/19ecdf8a9a900000a42e.pdf) |
| Octagon | Updated June 16, 2026 | “CME FedWatch Probability (Rate Hold) **97.4%–98.5%** (June 17, 2026 meeting)” | [octagonai.co](https://octagonai.co/markets/economics/fed/fed-funds-rate-after-jun-2026-meeting/) |
| Gate News | June 15, 2026, 22:05 | “CME FedWatch data released on June 16 … **98.5%** probability of maintaining interest rates unchanged at its June meeting … **1.5%** chance of a 25-basis-point rate cut” | [gate.com](https://www.gate.com/news/detail/fed-to-hold-rates-unchanged-in-june-with-985-probability-cme-data-shows-21875883) |
| CNBC-TV18 | June 15, 2026 | “CME FedWatch Tool places the probability of … keeping rates in the current 3.50% to 3.75% range at **98.45%**” | [cnbctv18.com](https://www.cnbctv18.com/economy/a-rate-pause-under-feds-new-chief-kevin-warsh-may-still-feel-hawkish-heres-why-ws-l-19924850.htm) |
| @ecomintnews | June 15, 2026 | “CME FedWatch tool showing a **96% probability of no move**” | [x.com/ecomintnews/status/2066580069397708826](https://x.com/ecomintnews/status/2066580069397708826) |
| @D0Vlad | June 15, 2026 | “as of June 13, CME FedWatch shows a **97.1%** probability of holding the rate” | [x.com/D0Vlad/status/2066505899863146889](https://x.com/D0Vlad/status/2066505899863146889) |
| Odaily (citing Jinshi) | June 14, 2026, 18:24 | “probability of the Federal Reserve maintaining the current interest rate in June is **98.5%** … cumulative 25-basis-point rate cut is **1.5%**” | [odaily.news](https://www.odaily.news/en/newsflash/490444) |
| Moomoo / BlockBeats | June 13, 2026, 23:57 | “CME's ‘FedWatch’ data … maintaining the interest rate in June is currently at **97.4%**, with a **2.6%** probability of a 25 basis point rate cut” | [moomoo.com](https://www.moomoo.com/hans/news/flash/22641186/the-probability-of-the-fed-keeping-interest-rates-unchanged-in) |

### Polymarket

| Source | Date | Exact quoted figure | URL |
|---|---|---|---|
| DeFi Rate | June 16, 2026, 4:58pm PDT | “Polymarket’s Fed rates dashboard showed **no change at 100%**, with a 25 bps cut below **1%**” | [defirate.com](https://defirate.com/news/fed-prediction-markets-shift-to-warshs-words-as-june-rate-decision-looks-settled/) |
| @eshanchordia | June 16, 2026 | “@Kalshi and @Polymarket: **99% hold**” | [x.com/eshanchordia/status/2066896593325048224](https://x.com/eshanchordia/status/2066896593325048224) |
| Octagon | Updated June 16, 2026 | “Probability of Rate Hold **96% to 99%** (Polymarket, Kalshi)” | [octagonai.co](https://octagonai.co/markets/economics/fed/fed-funds-rate-after-jun-2026-meeting/) |
| Blockchain.News | June 15, 2026 | Polymarket “Fed Decision in June?”: “No change … near **99.55%**”; table: No change **99.5%** Yes / **0.5%** No | [blockchain.news](https://blockchain.news/news/fed-decision-in-june-odds-narrow-around-no-change-0hnmahbisk7g0) |
| @D0Vlad | June 15, 2026 | “prediction markets are offering a **93-98% chance** of holding at the June 16-17 meeting” | [x.com/D0Vlad/status/2066505899863146889](https://x.com/D0Vlad/status/2066505899863146889) |
| @coin360com | June 17, 2026 | “Both Polymarket and CME FedWatch show **over 99% odds** of rates staying unchanged” | [x.com/coin360com/status/2067223201965371737](https://x.com/coin360com/status/2067223201965371737) |
| @traderhc | June 17, 2026 | “Polymarket … right now it's **99% no change today**” | [x.com/traderhc/status/2067186267616371188](https://x.com/traderhc/status/2067186267616371188) |
| @PB_Signal | June 17, 2026, 08:30 GMT (pre-2pm ET) | Polymarket “Fed Decision in June?” whale buy, “Odds at entry: **99.70%**” | [x.com/PB_Signal/status/2067162833494892566](https://x.com/PB_Signal/status/2067162833494892566) |

### Kalshi

| Source | Date | Exact quoted figure | URL |
|---|---|---|---|
| DeFi Rate | June 16, 2026, 4:58pm PDT | “Kalshi’s June Fed decision market showed ‘Fed maintains rate’ trading at **99 cents** Tuesday” (June 16) | [defirate.com](https://defirate.com/news/fed-prediction-markets-shift-to-warshs-words-as-june-rate-decision-looks-settled/) |
| @eshanchordia | June 16, 2026 | “@Kalshi and @Polymarket: **99% hold**” | [x.com/eshanchordia/status/2066896593325048224](https://x.com/eshanchordia/status/2066896593325048224) |
| Octagon | Updated June 16, 2026 | “Kalshi Prediction Market Odds: Approx. **99%** (rate above 3.50% after June 2026 meeting)” | [octagonai.co](https://octagonai.co/markets/economics/fed/fed-funds-rate-after-jun-2026-meeting/) |
| @e23miranda | June 17, 2026 | “**97.8% probability of a hold.** That’s where Kalshi closed Tuesday” | [x.com/e23miranda/status/2067219992433795239](https://x.com/e23miranda/status/2067219992433795239) |

### What I searched that did **not** yield a usable June 12–17 quote of the June 17 *decision*

- `@CMEGroup` in June 12–17: **no FedWatch % posts** found.
- `@Kalshi` / `@Polymarket` official accounts: posts that week quoted **2026 hike/cut path**, not June 17 hold %.
- Live aggregator pages (Yahoo Finance Polymarket, Oddpool, polymarket.com current event page): either post-resolution 100% or undated/stale snapshots (e.g. 87%, 89.5%, 44%) — not includable as dated June 12–17 quotes.

**Cluster of the quotes:** FedWatch for the June 17 meeting ran about **96–99.6% hold** (cut tail ~0.5–2.6%). Polymarket/Kalshi for the same meeting were quoted around **99% / 99¢ / ~100% no change** on June 15–17.
